Datetime;Open;High;Low;Close;Adj Close;Volume;Variacao
2020-09-23T16:30:00Z; 96749,47; 96780,10; 96749,47; 96780,10; 96780,10;0; 6,095875e-04
2020-09-23T16:31:00Z; 96803,55; 96803,55; 96783,66; 96783,66; 96783,66;0; 3,678442e-05
2020-09-23T16:32:00Z; 96780,42; 96780,42; 96761,53; 96761,53; 96761,53;0;-2,286543e-04
2020-09-23T16:33:00Z; 96774,79; 96774,79; 96747,29; 96747,29; 96747,29;0;-1,471659e-04
2020-09-23T16:34:00Z; 96737,71; 96737,71; 96717,98; 96717,98; 96717,98;0;-3,029542e-04
2020-09-23T16:35:00Z; 96743,31; 96748,78; 96743,31; 96748,78; 96748,78;0; 3,184516e-04
2020-09-23T16:36:00Z; 96779,43; 96779,43; 96757,26; 96757,26; 96757,26;0; 8,764968e-05
2020-09-23T16:37:00Z; 96796,27; 96898,50; 96796,27; 96898,50; 96898,50;0; 1,459735e-03
2020-09-23T16:38:00Z; 96845,95; 96869,20; 96845,95; 96869,20; 96869,20;0;-3,023783e-04
2020-09-23T16:39:00Z; 96916,39; 97021,11; 96916,39; 97021,11; 97021,11;0; 1,568197e-03
2020-09-23T16:40:00Z; 97050,12; 97130,08; 97050,12; 97130,08; 97130,08;0; 1,123158e-03
2020-09-23T16:41:00Z; 97080,88; 97116,07; 97080,88; 97116,07; 97116,07;0;-1,442396e-04
2020-09-23T16:42:00Z; 97120,51; 97120,51; 97110,84; 97110,84; 97110,84;0;-5,385309e-05
2020-09-23T16:43:00Z; 97105,10; 97121,40; 97105,10; 97121,40; 97121,40;0; 1,087417e-04
2020-09-23T16:44:00Z; 97183,63; 97183,63; 97179,27; 97179,27; 97179,27;0; 5,958522e-04
2020-09-23T16:45:00Z; 97164,78; 97164,78; 97127,28; 97127,28; 97127,28;0;-5,349906e-04
2020-09-23T16:46:00Z; 97109,46; 97109,46; 97088,31; 97088,31; 97088,31;0;-4,012261e-04
2020-09-23T16:47:00Z; 97081,67; 97081,67; 97072,50; 97072,50; 97072,50;0;-1,628414e-04
2020-09-23T16:48:00Z; 97062,70; 97090,63; 97062,70; 97090,63; 97090,63;0; 1,867676e-04
2020-09-23T16:49:00Z; 97103,35; 97103,35; 97101,14; 97101,14; 97101,14;0; 1,082494e-04
2020-09-23T16:50:00Z; 97091,79; 97091,79; 97085,23; 97085,23; 97085,23;0;-1,638498e-04
2020-09-23T16:51:00Z; 97080,44; 97121,89; 97080,44; 97121,89; 97121,89;0; 3,776064e-04
2020-09-23T16:52:00Z; 97118,06; 97153,99; 97118,06; 97153,99; 97153,99;0; 3,305125e-04
2020-09-23T16:53:00Z; 97194,51; 97225,78; 97194,51; 97225,78; 97225,78;0; 7,389300e-04
2020-09-23T16:54:00Z; 97238,52; 97238,52; 97226,99; 97226,99; 97226,99;0; 1,244526e-05
2020-09-23T16:55:00Z; 97223,81; 97223,81; 97221,45; 97221,45; 97221,45;0;-5,698006e-05
2020-09-23T16:56:00Z; 97234,90; 97256,94; 97234,90; 97256,94; 97256,94;0; 3,650429e-04
2020-09-23T16:57:00Z; 97340,97; 97388,94; 97340,97; 97388,94; 97388,94;0; 1,357230e-03
2020-09-23T16:58:00Z; 97368,93; 97368,93; 97362,84; 97362,84; 97362,84;0;-2,679976e-04
